record_id,evidence_date,evidence_date_descriptive,large_area,small_area,scientific_name,common_name,id_quality,evidence_type,collision_evidence,strike_result,other_info,vessel_type,scientific_name_clean,species_status,species_analysis_name,id_quality_clean,analysis_confidence,evidence_type_clean,evidence_context,strike_result_clean,outcome_known,fatal_outcome,fatal_label,vessel_type_clean,vessel_category,large_area_clean,ocean_basin,date_description_clean,date_precision,year_start,year_end,analysis_year,year_source,analysis_decade,include_species_frequency,include_species_fatality,include_confirmed_species,include_vessel_outcome,include_region_outcome
18,NA,1913,Atlantic Ocean - North,"Off Newfoundland, Canada",Unidentified cetacean,NA,Indeterminate,Collision,"Waldimir Reitz hit a whale head-on ‘‘knocking a four-foot hole in the [ship’s] bow.’’ Allen (1916), cited by Laist et al. (2001)",Not known,Unidentified whale struck by a cargo ship off Newfoundland in 1913 (Laist et al. 2001),General Cargo,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,General cargo,Cargo or tanker,Atlantic Ocean - North,Atlantic Ocean,1913,Descriptive year,1913,1913,1913,Descriptive date,1910s,FALSE,FALSE,FALSE,FALSE,FALSE
19,NA,1912-1915,Atlantic Ocean - North,"Off East Coast, USA",Unidentified cetacean,NA,Indeterminate,Collision,Allen (1916) cited by Laist et al. (2001),Death,Unidentified whale killed by a steamship off U.S. East coast. Allen (1916) cited by Laist et al. (2001),Motor yacht (unknown size),Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,1912-1915,Date range,1912,1915,NA,No single usable year,NA,FALSE,FALSE,FALSE,TRUE,TRUE
20,NA,1926,Atlantic Ocean - North,Unknown,Unidentified cetacean,NA,Indeterminate,Collision,See Schmitt (1979) cited by Laist et al. (2001),Death,Unidentified whale killed by a liner in the North Atlantic in 1926. Schmitt (1979) cited by Laist et al. (2001),Passenger vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Passenger vessel,Passenger or ferry,Atlantic Ocean - North,Atlantic Ocean,1926,Descriptive year,1926,1926,1926,Descriptive date,1920s,FALSE,FALSE,FALSE,TRUE,TRUE
21,NA,Mid 1930s,Pacific Ocean - South,"Near Raratonga, Cook Islands",Unidentified cetacean,NA,Indeterminate,Collision,"Source: William C. Cummings, unpublished data held by the Marine Mammal Commission, 4340 East-West Highway, Rm. 905, Bethesda, Maryland, 20814, U.S.A. 28 April 1999",Death,"Unidentified whale killed by steamship near Raratonga, South Pacific (Laist et al. 2001)",Not known,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,mid 1930s,Decade only,1930,1939,NA,No single usable year,NA,FALSE,FALSE,FALSE,FALSE,TRUE
22,NA,1940,Atlantic Ocean - North,"Off Cape Hatteras, North Carolina, US East Coast",NA,Unidentified large baleen whale,Indeterminate,Collision,See Laist et al. (2001),Death,"Baleen whale killed by a tanker off Cape Hatteras (From local newspaper, cited by Laist et al. 2001)",Oil Tanker,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Oil tanker,Cargo or tanker,Atlantic Ocean - North,Atlantic Ocean,1940,Descriptive year,1940,1940,1940,Descriptive date,1940s,FALSE,FALSE,FALSE,TRUE,TRUE
23,NA,1940-1945,Atlantic Ocean - North,Unknown,Physeter macrocephalus,sperm whale,Confirmed,Collision,See Slijper (1962) cited by Laist et al. (2001),Death,"Sperm whale killed by U.S. destroyer in the North Atlantic (1940 - 1945), Slijper (1962) cited by Laist et al. (2001)",Naval vessel,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Atlantic Ocean - North,Atlantic Ocean,1940-1945,Date range,1940,1945,NA,No single usable year,NA,TRUE,TRUE,TRUE,TRUE,TRUE
24,NA,1950,Indian Ocean - Red Sea,"Red Sea, Egypt",Balaenoptera omurai,Omura’s whale,Unconfirmed,Collision,Anonymous report cited by Laist et al. (2001),Death,Unconfirmed Bryde's whale killed by a tanker in the Red Sea. Anonymous report cited by Laist et al. (2001),Oil Tanker,Balaenoptera omurai,Identified to species,Balaenoptera omurai,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Oil tanker,Cargo or tanker,Indian Ocean - Red Sea,Indian Ocean,1950,Descriptive year,1950,1950,1950,Descriptive date,1950s,TRUE,TRUE,FALSE,TRUE,TRUE
25,1993-05-01T00:00:00Z,NA,Atlantic Ocean - North,"6 km off St. Augustine, Florida, US East Coast",Eubalaena glacialis,North Atlantic right whale,Confirmed,Collision,"Necropsy Examination Report RKB-1424, Sirenia Project, U.S. Geological Survey, 412 NE 16th Street, Gainseville, Florida 32601 U.S.A.",Death,Incident at sea and carcass towed ashore. Northern right whale calf collided with US Coast Guard Cutter. 3 days later calf was found floating dead and was towed ashore. Laist et al. (2001) and Knowlton and Kraus (2001). See NMFS 2005 and Sirenia Project (,Motor yacht (unknown size),Eubalaena glacialis,Identified to species,Eubalaena glacialis,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1993,1993,1993,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
26,1983-01-24T00:00:00Z,NA,Atlantic Ocean - North,"Off New York, US East Coast",Balaenoptera physalus,fin whale,Confirmed,Collision,"""Brought into port on bow of ship, bruising evident"" (Laist et al. 2001)",Death,"Fin whale brought into port on bow. Incident at sea (ID 29) off New York. Data from the Cetacean Distributional Database, Smithsonian Institution,Washington, DC. Cited by Laist et al. (2001).",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1983,1983,1983,Exact date,1980s,TRUE,TRUE,TRUE,FALSE,TRUE
27,1986-02-07T00:00:00Z,NA,Atlantic Ocean - North,"Delaware River, New Jersey, US East Coast",Balaenoptera physalus,fin whale,Confirmed,Collision,"Reported struck by unknown container ship. Data from the Cetacean Distributional Database, Smithsonian Institution,Washington, DC. Cited in Laist et al (2001) (Table 2)",Not known,"Fin whale reported struck by container ship, Delaware River, NJ, USA. Data from the Cetacean Distributional Database, Smithsonian Institution,Washington, DC. Cited in Laist et al (2001) (Table 2)",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1986,1986,1986,Exact date,1980s,TRUE,FALSE,TRUE,FALSE,FALSE
28,1988-04-05T00:00:00Z,NA,Atlantic Ocean - North,"Deal, New Jersey, US East Coast",Balaenoptera physalus,fin whale,Confirmed,Collision,"""Boat hit found floating"" Laist et al. (2001)",Not known,"Fin whale hit by boat and found floating, Deal, NJ (USA). Data from the Cetacean Distributional Database, Smithsonian Institution,Washington, DC. Cited in Laist et al (2001) (Table 2)",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1988,1988,1988,Exact date,1980s,TRUE,FALSE,TRUE,FALSE,FALSE
29,1995-01-08T00:00:00Z,NA,Atlantic Ocean - North,"30 nm SE Cape Cod, Massachusetts, US East Coast",Balaenoptera physalus,fin whale,Confirmed,Collision,"Carried to Saint George, Bermuda, on the bow of a cruise ship after being hit",Death,"Fin whale on the bow of a ship, Cape Cod, MA, USA to Bermuda. Data from the Cetacean Distributional Database, Smithsonian Institution,Washington, DC, cited by Laist et al (2001, table 2).",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1995,1995,1995,Exact date,1990s,TRUE,TRUE,TRUE,FALSE,TRUE
30,1989-05-20T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Ligurian Sea, Near Olbia harbour, Sardinia",Balaenoptera physalus,fin whale,Confirmed,Collision,"Struck by a ferry near entrance to Olbia harbour (Table 3, Laist et al., 2001)",Not known,"Fin whale struck by a ferry, Olbia, Sardinia. Data from the Centro Studi Cetacei, Museo di Storia Naturale di Milano, Italy. Cited by Laist et al. (2001).",Ferry,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Ferry,Passenger or ferry,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1989,1989,1989,Exact date,1980s,TRUE,FALSE,TRUE,FALSE,FALSE
31,1990-04-28T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Ligurian Sea, Porto Torres, Sardinia",Balaenoptera physalus,fin whale,Confirmed,Collision,Struck by ship 1.5 nm from port. Seen alive with a deep wound on back and found dead a day later,Death,"Fin whale struck by ship, Porto Torres, Sardinia. Data from the Centro Studi Cetacei, Museo di Storia Naturale di Milano, Italy. Cited by Laist et al. (2001).",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1990,1990,1990,Exact date,1990s,TRUE,TRUE,TRUE,FALSE,TRUE
32,1992-09-02T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,Sicily,Physeter macrocephalus,sperm whale,Confirmed,Collision,"Sperm whale hit by a hydrofoil on 2 September 1992 off Sicily and last seen alive with ‘‘superficial wounds’’ (Laist et al., 2001)",Apparently minor external injury,"Sperm whale hit by hydrofoil, Sicily, Italy. Laist et al. (2001)",Hydrofoil,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Collision,Reported collision,Minor injury,TRUE,0,Non-fatal known outcome,Hydrofoil,Passenger or ferry,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1992,1992,1992,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
33,1972-03-09T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Ligurian Sea, Nice, Italy",Balaenoptera physalus,fin whale,Confirmed,Collision,Brought into port on bow of ship,Death,"Fin whale hit by ferry, brought into port on bow in Nice (France). Data from the Institut de la Mer et du Littoral, La Rochelle, France, cited by Laist et al. (2001). Approximate position. Contact A. Collet",Ferry,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Ferry,Passenger or ferry,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1972,1972,1972,Exact date,1970s,TRUE,TRUE,TRUE,TRUE,TRUE
34,1976-03-04T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Toulon, France",Balaenoptera physalus,fin whale,Confirmed,Collision,"""14.3 m male hit by merchant ship""",Death,"Fin whale brought into port on bow of merchant ship. Data from the Institut de la Mer et du Littoral, La Rochelle, France, cited by Laist et al. (2001). Approximate position. Cited by Laist et al. (2001) (Table 4)",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1976,1976,1976,Exact date,1970s,TRUE,TRUE,TRUE,FALSE,TRUE
35,1993-09-09T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"3 hours before reaching Toulon, France",Balaenoptera physalus,fin whale,Confirmed,Collision,Laist et al. (2001).,Death,"Fin whale hit at sea and brought into port on bow of ferry, Toulon, France. Data from the Institut de la Mer et du Littoral, La Rochelle, France, cited by Laist et al. (2001) .A 16 m female whale. See Form on whale stuck on bow. a shock followed by stron",Ferry,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Ferry,Passenger or ferry,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1993,1993,1993,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
36,NA,August 1952,Atlantic Ocean - North,"139 km off Montauk, Long Island, New York, USA",NA,Unidentified large whale,Indeterminate,Collision,A large whale about 15 m long was seen awash and swimming slowly about 90 m ahead and 18 m to port. A few seconds before impact it submerged to a shallow depth. The impact was not felt (Laist et al. 2001),Not known,"Unknown large whale hit by US Navy destroyer. Data held by the Marine Mammal Commission, Bethesda, Maryland, USA, cited by Laist et al. (2001). Approximate position.",Naval vessel,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Naval vessel,Government or naval,Atlantic Ocean - North,Atlantic Ocean,august 1952,Descriptive year,1952,1952,1952,Descriptive date,1950s,FALSE,FALSE,FALSE,FALSE,FALSE
37,1971-02-07T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Between Marseilles and Annaba, France and Algeria",Balaenoptera physalus,fin whale,Confirmed,Collision,NA,Death,Panigada et al. 2006. Mediterranean fin whales at risk from fatal ship strikes,NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1971,1971,1971,Exact date,1970s,TRUE,TRUE,TRUE,FALSE,TRUE
38,1972-09-03T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Ligurian Sea, Corsica",Balaenoptera physalus,fin whale,Confirmed,Collision,On bow,Death,"Panigada et al. 2006. Fin whale, male, 18m, on bow of car-ferry 'Corse' Ligurian Sea, July 1972.",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,1972,1972,1972,Exact date,1970s,TRUE,TRUE,TRUE,FALSE,TRUE
39,NA,Fall 1953,Pacific Ocean - Yellow Sea,Northern Yellow Sea,Unidentified cetacean,NA,Indeterminate,Collision,A sudden shudder was felt throughout the ship. The bow lookout reported something on the bow. (Laist et al. 2001),Death,"Unidentified whale hit and stuck on bow of a US Aircraft carrier and removed at sea. Data held by the Marine Mammal Commission, Bethesda, Maryland, USA, cited by Laist et al. (2001)",Naval vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Pacific Ocean - Yellow Sea,Pacific Ocean,fall 1953,Descriptive year,1953,1953,1953,Descriptive date,1950s,FALSE,FALSE,FALSE,TRUE,TRUE
40,1954-12-25T00:00:00Z,NA,Pacific Ocean - South,"11 Km off Kaikoura, South Island, New Zealand",NA,Unidentified large whale,Indeterminate,Collision,"""Very early in the morning while steaming northward, the vessel collided with a large whale and incurred damage to the stem bar protecting the rudder."" Laist et al. (2001)",Not known,"Unidentified large whale struck by passenger ship, Kaikoura, NZ. Data held by the Marine Mammal Commission, Bethesda, Maryland, USA, cited by Laist et al. (2001)",Passenger vessel,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Passenger vessel,Passenger or ferry,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1954,1954,1954,Exact date,1950s,FALSE,FALSE,FALSE,FALSE,FALSE
41,1955-03-22T00:00:00Z,NA,Atlantic Ocean - North,"89 Km west of Cape Gardafui, Canary Islands",Physeter macrocephalus,sperm whale,Confirmed,Collision,"After a mysterious jolt, the crew found that a 10 m sperm whale had been struck on the head and its body had become lodged on the bow below the water line. Slijper (1979) cited by Laist et al. (2001)",Death,"Sperm whale struck and stuck on bow, removed at sea, Canary Islands. Slijper (1979) cited by Laist et al. (2001). Event occurred at night.",Motor yacht (unknown size),Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1955,1955,1955,Exact date,1950s,TRUE,TRUE,TRUE,TRUE,TRUE
